,STRUCTURE_NUMBER_008,Year,LAT_016,LONG_017,YEAR_BUILT_027,DECK_COND_058,DECK_STRUCTURE_TYPE_107
315,000000001003270,2000,41204800.0,74120600.0,1956.0,8,1
316,000000001003270,2001,41204800.0,74120600.0,1956.0,8,1
317,000000001003270,2002,41204800.0,74120600.0,1956.0,8,1
318,000000001003270,2003,41205400.0,74120000.0,1956.0,8,1
319,000000001003270,2004,41205076.0,74120153.0,1956.0,8,1
320,000000001003270,2005,41205076.0,74120153.0,1956.0,8,1
321,000000001003270,2006,41205076.0,74120153.0,1956.0,8,1
322,000000001003270,2007,41205076.0,74120153.0,1956.0,8,1
323,000000001003270,2008,41205076.0,74120153.0,1956.0,8,1
324,000000001003270,2009,41205076.0,74120153.0,1956.0,8,1
325,000000001003270,2010,41205076.0,74120153.0,1956.0,8,1
326,000000001003270,2011,41205076.0,74120153.0,1956.0,8,1
327,000000001003270,2012,41205076.0,74120153.0,1956.0,8,1
328,000000001003270,2013,41205076.0,74120153.0,1956.0,8,1
329,000000001003270,2014,41205076.0,74120153.0,1956.0,8,1
330,000000001003270,2015,41205076.0,74120153.0,1956.0,8,1
331,000000001003270,2016,41205076.0,74120153.0,1956.0,8,1
332,000000001003270,2017,41205110.0,74120088.0,1956.0,8,1
333,000000001003270,2018,41205110.0,74120088.0,1956.0,8,1
334,000000001003270,2019,41205110.0,74120088.0,1956.0,8,1
335,000000001003270,2020,41205110.0,74120088.0,1956.0,8,1
336,000000001003270,2021,41205110.0,74120088.0,1956.0,8,1
337,000000001003270,2022,41205110.0,74120088.0,1956.0,8,1
338,000000001003270,2023,41205110.0,74120088.0,1956.0,8,1
339,000000001003280,1998,41204800.0,74114200.0,1956.0,8,1
340,000000001003280,1999,41204800.0,74114200.0,1956.0,8,1
341,000000001003280,2000,41204800.0,74114200.0,1956.0,7,1
342,000000001003280,2001,41204800.0,74114200.0,1956.0,7,1
343,000000001003280,2002,41204800.0,74114200.0,1956.0,7,1
